[2023-10-14 23:31:59,383: INFO: main: Welcome to our image classifier]
[2023-10-14 23:32:09,887: INFO: main: Welcome to our image classifier]
[2023-10-14 23:36:12,957: INFO: main: Welcome to our image classifier]
[2023-10-14 23:36:28,905: INFO: main: Welcome to our image classifier]
[2023-10-15 19:46:40,528: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-15 19:46:41,050: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-15 19:46:41,103: INFO: common: created directory at: artifacts]
[2023-10-15 19:46:41,111: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-15 19:46:48,915: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-15 19:46:48,921: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-15 19:46:48,923: INFO: common: created directory at: artifacts]
[2023-10-15 19:46:48,928: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-15 19:46:48,933: INFO: 1168747554: Downloading data from https://drive.google.com/file/d/1TKxQZecX1YxOrxLt2y-XFhuxW733M81-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-15 19:47:44,870: INFO: 1168747554: Downloaded data from https://drive.google.com/file/d/1TKxQZecX1YxOrxLt2y-XFhuxW733M81-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-15 20:09:49,959: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-10-15 20:09:49,989: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-15 20:09:49,991: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-15 20:09:49,992: INFO: common: created directory at: artifacts]
[2023-10-15 20:09:49,994: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-15 20:09:49,995: INFO: Data_Ingestion: Downloading data from https://drive.google.com/file/d/1TKxQZecX1YxOrxLt2y-XFhuxW733M81-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-15 20:10:13,750: INFO: Data_Ingestion: Downloaded data from https://drive.google.com/file/d/1TKxQZecX1YxOrxLt2y-XFhuxW733M81-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-15 20:10:16,010: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
